String	Airline	Origin	Equipment	Time	Hour	D/A	Year	Region2	AlCat	Pair	GroundTime	Type
F31123	F3	Middle East	A321	19:35:00	19	D	2030	Middle East	F3	F31122	0	Commercial
F31127	F3	Asia	A321	11:15:00	11	D	2030	Asia	F3	F31130	0	Commercial
F31131	F3	Asia	E190	20:55:00	20	D	2030	Asia	F3	F31132	0	Commercial
F31135	F3	North America	B757	21:50:00	21	D	2030	North America	F3	F31134	0	Commercial
F31133	F3	Asia	B757	22:50:00	22	D	2030	Asia	F3	F31136	0	Commercial
F31165	F3	Middle East	A320	09:30:00	9	D	2035	Middle East	F3	F31164	0	Commercial
F31167	F3	Middle East	A320	14:40:00	14	D	2035	Middle East	F3	F31172	0	Commercial
F31161	F3	Saudi Arabia	A320	17:30:00	17	D	2035	Saudi Arabia	F3	F31166	0	Commercial
F31169	F3	Saudi Arabia	A320	18:00:00	18	D	2035	Saudi Arabia	F3	F31168	0	Commercial
F31163	F3	Middle East	A320	22:00:00	22	D	2035	Middle East	F3	F31162	0	Commercial
F31171	F3	Middle East	A320	22:20:00	22	D	2035	Middle East	F3	F31170	0	Commercial
F31175	F3	Saudi Arabia	B737	06:45:00	6	D	2035	Saudi Arabia	F3	F31174	0	Commercial
F31173	F3	Middle East	B737	02:35:00	2	D	2035	Middle East	F3	F31176	0	Commercial
F31181	F3	Middle East	A350	05:35:00	5	D	2035	Middle East	F3	F31180	0	Commercial
F31183	F3	Saudi Arabia	A350	11:45:00	11	D	2035	Saudi Arabia	F3	F31188	0	Commercial
F31177	F3	Saudi Arabia	A350	13:30:00	13	D	2035	Saudi Arabia	F3	F31182	0	Commercial
F31185	F3	Saudi Arabia	A350	17:40:00	17	D	2035	Saudi Arabia	F3	F31184	0	Commercial
F31179	F3	Saudi Arabia	A350	21:50:00	21	D	2035	Saudi Arabia	F3	F31178	0	Commercial
F31187	F3	Middle East	A350	00:55:00	0	D	2035	Middle East	F3	F31186	0	Commercial
F31189	F3	Saudi Arabia	B787	06:55:00	6	D	2035	Saudi Arabia	F3	F31196	0	Commercial
F31191	F3	Middle East	B787	13:25:00	13	D	2035	Middle East	F3	F31190	0	Commercial
F31193	F3	Saudi Arabia	B787	18:45:00	18	D	2035	Saudi Arabia	F3	F31192	0	Commercial
F31195	F3	Middle East	B787	02:20:00	2	D	2035	Middle East	F3	F31194	0	Commercial
F31205	F3	Europe	A321	08:35:00	8	D	2035	Europe	F3	F31204	0	Commercial
F31199	F3	Africa	A321	12:40:00	12	D	2035	Africa	F3	F31198	0	Commercial
F31201	F3	Middle East	A321	18:25:00	18	D	2035	Middle East	F3	F31206	0	Commercial
F31203	F3	Middle East	A321	01:00:00	1	D	2035	Middle East	F3	F31200	0	Commercial
F31197	F3	Saudi Arabia	A321	06:35:00	6	D	2035	Saudi Arabia	F3	F31202	0	Commercial
F31207	F3	Europe	E190	14:25:00	14	D	2035	Europe	F3	F31208	0	Commercial
F31211	F3	North America	B757	09:35:00	9	D	2035	North America	F3	F31210	0	Commercial
F31209	F3	Asia	B757	07:25:00	7	D	2035	Asia	F3	F31212	0	Commercial
F31247	F3	Middle East	A320	04:35:00	4	D	2040	Middle East	F3	F31246	0	Commercial
F31241	F3	Saudi Arabia	A320	15:20:00	15	D	2040	Saudi Arabia	F3	F31248	0	Commercial
F31243	F3	Saudi Arabia	A320	20:25:00	20	D	2040	Saudi Arabia	F3	F31242	0	Commercial
F31245	F3	Saudi Arabia	A320	00:45:00	0	D	2040	Saudi Arabia	F3	F31244	0	Commercial
F31251	F3	Middle East	B737	11:10:00	11	D	2040	Middle East	F3	F31250	0	Commercial
F31249	F3	Middle East	B737	07:00:00	7	D	2040	Middle East	F3	F31252	0	Commercial
F31257	F3	Saudi Arabia	A350	06:15:00	6	D	2040	Saudi Arabia	F3	F31256	0	Commercial
F31259	F3	Saudi Arabia	A350	13:25:00	13	D	2040	Saudi Arabia	F3	F31264	0	Commercial
F31253	F3	Saudi Arabia	A350	17:00:00	17	D	2040	Saudi Arabia	F3	F31258	0	Commercial
F31261	F3	Saudi Arabia	A350	19:45:00	19	D	2040	Saudi Arabia	F3	F31260	0	Commercial
F31255	F3	Saudi Arabia	A350	00:55:00	0	D	2040	Saudi Arabia	F3	F31254	0	Commercial
F31263	F3	Saudi Arabia	A350	01:45:00	1	D	2040	Saudi Arabia	F3	F31262	0	Commercial
F31265	F3	Saudi Arabia	B787	07:40:00	7	D	2040	Saudi Arabia	F3	F31272	0	Commercial
F31267	F3	Middle East	B787	13:20:00	13	D	2040	Middle East	F3	F31266	0	Commercial
F31269	F3	Middle East	B787	19:10:00	19	D	2040	Middle East	F3	F31268	0	Commercial
F31271	F3	Middle East	B787	02:35:00	2	D	2040	Middle East	F3	F31270	0	Commercial
F31281	F3	Europe	A321	03:15:00	3	D	2040	Europe	F3	F31280	0	Commercial
F31275	F3	Saudi Arabia	A321	10:30:00	10	D	2040	Saudi Arabia	F3	F31282	0	Commercial
F31277	F3	Africa	A321	15:15:00	15	D	2040	Africa	F3	F31274	0	Commercial
F31279	F3	Africa	A321	20:45:00	20	D	2040	Africa	F3	F31276	0	Commercial
F31273	F3	Middle East	A321	06:45:00	6	D	2040	Middle East	F3	F31278	0	Commercial
F31283	F3	Asia	E190	10:15:00	10	D	2040	Asia	F3	F31284	0	Commercial
F31285	F3	Asia	B757	05:45:00	5	D	2040	Asia	F3	F31286	0	Commercial
F31287	F3	North America	B757	06:15:00	6	D	2040	North America	F3	F31288	0	Commercial
F31321	F3	Saudi Arabia	A320	08:45:00	8	D	2045	Saudi Arabia	F3	F31328	0	Commercial
F31323	F3	Middle East	A320	13:25:00	13	D	2045	Middle East	F3	F31322	0	Commercial
F31325	F3	Saudi Arabia	A320	17:55:00	17	D	2045	Saudi Arabia	F3	F31324	0	Commercial
F31327	F3	Saudi Arabia	A320	21:35:00	21	D	2045	Saudi Arabia	F3	F31326	0	Commercial
F31331	F3	Middle East	B737	20:30:00	20	D	2045	Middle East	F3	F31330	0	Commercial
F31329	F3	Saudi Arabia	B737	15:30:00	15	D	2045	Saudi Arabia	F3	F31332	0	Commercial
F31333	F3	Middle East	A350	03:35:00	3	D	2045	Middle East	F3	F31340	0	Commercial
F31335	F3	Middle East	A350	10:20:00	10	D	2045	Middle East	F3	F31334	0	Commercial
F31343	F3	Middle East	A350	11:10:00	11	D	2045	Middle East	F3	F31342	0	Commercial
F31337	F3	Middle East	A350	17:20:00	17	D	2045	Middle East	F3	F31336	0	Commercial
F31339	F3	Saudi Arabia	A350	23:05:00	23	D	2045	Saudi Arabia	F3	F31344	0	Commercial
F31341	F3	Middle East	A350	04:20:00	4	D	2045	Middle East	F3	F31338	0	Commercial
F31349	F3	Middle East	B787	07:55:00	7	D	2045	Middle East	F3	F31348	0	Commercial
F31351	F3	Middle East	B787	13:25:00	13	D	2045	Middle East	F3	F31350	0	Commercial
F31345	F3	Saudi Arabia	B787	17:05:00	17	D	2045	Saudi Arabia	F3	F31352	0	Commercial
F31347	F3	Saudi Arabia	B787	00:00:00	0	D	2045	Saudi Arabia	F3	F31346	0	Commercial
F31357	F3	Saudi Arabia	A321	04:00:00	4	D	2045	Saudi Arabia	F3	F31356	0	Commercial
F31359	F3	Middle East	A321	09:55:00	9	D	2045	Middle East	F3	F31362	0	Commercial
F31361	F3	Africa	A321	17:55:00	17	D	2045	Africa	F3	F31358	0	Commercial
F31353	F3	Saudi Arabia	A321	18:40:00	18	D	2045	Saudi Arabia	F3	F31360	0	Commercial
F31355	F3	Middle East	A321	23:10:00	23	D	2045	Middle East	F3	F31354	0	Commercial
F31363	F3	Europe	E190	03:50:00	3	D	2045	Europe	F3	F31364	0	Commercial
F31365	F3	Europe	B757	22:05:00	22	D	2045	Europe	F3	F31368	0	Commercial
F31367	F3	Australasia	B757	00:45:00	0	D	2045	Australasia	F3	F31366	0	Commercial
F31403	F3	Middle East	A320	17:50:00	17	D	2050	Middle East	F3	F31402	0	Commercial
F31405	F3	Middle East	A320	21:20:00	21	D	2050	Middle East	F3	F31404	0	Commercial
F31401	F3	Middle East	A320	13:35:00	13	D	2050	Middle East	F3	F31406	0	Commercial
F31409	F3	Middle East	B737	13:50:00	13	D	2050	Middle East	F3	F31408	0	Commercial
F31407	F3	Middle East	B737	09:40:00	9	D	2050	Middle East	F3	F31410	0	Commercial
F31413	F3	Middle East	A350	02:55:00	2	D	2050	Middle East	F3	F31420	0	Commercial
F31415	F3	Middle East	A350	08:00:00	8	D	2050	Middle East	F3	F31414	0	Commercial
F31421	F3	Middle East	A350	13:40:00	13	D	2050	Middle East	F3	F31416	0	Commercial
F31411	F3	Middle East	A350	19:00:00	19	D	2050	Middle East	F3	F31422	0	Commercial
F31419	F3	Middle East	A350	21:00:00	21	D	2050	Middle East	F3	F31418	0	Commercial
F31417	F3	Saudi Arabia	A350	14:00:00	14	D	2050	Saudi Arabia	F3	F31412	0	Commercial
F31425	F3	Saudi Arabia	B787	08:10:00	8	D	2050	Saudi Arabia	F3	F31424	0	Commercial
F31427	F3	Saudi Arabia	B787	13:30:00	13	D	2050	Saudi Arabia	F3	F31426	0	Commercial
F31429	F3	Saudi Arabia	B787	19:55:00	19	D	2050	Saudi Arabia	F3	F31428	0	Commercial
F31423	F3	Middle East	B787	21:15:00	21	D	2050	Middle East	F3	F31430	0	Commercial
F31431	F3	Saudi Arabia	A321	01:00:00	1	D	2050	Saudi Arabia	F3	F31440	0	Commercial
F31433	F3	Saudi Arabia	A321	04:35:00	4	D	2050	Saudi Arabia	F3	F31432	0	Commercial
F31435	F3	Middle East	A321	09:25:00	9	D	2050	Middle East	F3	F31434	0	Commercial
F31437	F3	Middle East	A321	12:10:00	12	D	2050	Middle East	F3	F31436	0	Commercial
F31439	F3	Middle East	A321	18:15:00	18	D	2050	Middle East	F3	F31438	0	Commercial
F31441	F3	Europe	E190	19:30:00	19	D	2050	Europe	F3	F31442	0	Commercial
F31445	F3	North America	B757	11:35:00	11	D	2050	North America	F3	F31444	0	Commercial
F31443	F3	Asia	B757	12:00:00	12	D	2050	Asia	F3	F31446	0	Commercial
XY1001	XY	Middle East	B737	09:20:00	9	D	2025	Middle East	XY	XY1006	0	Commercial
XY1003	XY	Africa	B737	14:55:00	14	D	2025	Africa	XY	XY1002	0	Commercial
XY1085	XY	Africa	B737	05:50:00	5	D	2030	Africa	XY	XY1084	0	Commercial
XY1081	XY	Saudi Arabia	B737	17:55:00	17	D	2030	Saudi Arabia	XY	XY1086	0	Commercial
XY1161	XY	Saudi Arabia	B737	13:20:00	13	D	2035	Saudi Arabia	XY	XY1166	0	Commercial
XY1163	XY	Africa	B737	17:10:00	17	D	2035	Africa	XY	XY1162	0	Commercial
XY1243	XY	GCC	B737	15:50:00	15	D	2040	GCC	XY	XY1242	0	Commercial
XY1241	XY	Middle East	B737	08:35:00	8	D	2040	Middle East	XY	XY1244	0	Commercial
XY1321	XY	Middle East	B737	20:00:00	20	D	2045	Middle East	XY	XY1324	0	Commercial
XY1323	XY	Saudi Arabia	B737	01:15:00	1	D	2045	Saudi Arabia	XY	XY1322	0	Commercial
XY1401	XY	Saudi Arabia	B737	11:05:00	11	D	2050	Saudi Arabia	XY	XY1402	0	Commercial
SW1001	SW	Africa	B737	07:10:00	7	D	2025	Africa	SW	SW1008	0	Commercial
SW1007	SW	Middle East	B737	01:40:00	1	D	2025	Middle East	SW	SW1002	0	Commercial
SW1083	SW	Africa	B737	13:35:00	13	D	2030	Africa	SW	SW1082	0	Commercial
SW1081	SW	Africa	B737	07:50:00	7	D	2030	Africa	SW	SW1084	0	Commercial
SW1165	SW	Africa	B737	04:30:00	4	D	2035	Africa	SW	SW1164	0	Commercial
SW1161	SW	Africa	B737	16:10:00	16	D	2035	Africa	SW	SW1166	0	Commercial
SW1243	SW	Middle East	B737	18:40:00	18	D	2040	Middle East	SW	SW1242	0	Commercial
SW1241	SW	Middle East	B737	13:05:00	13	D	2040	Middle East	SW	SW1244	0	Commercial
SW1323	SW	Africa	B737	13:05:00	13	D	2045	Africa	SW	SW1322	0	Commercial
SW1321	SW	Africa	B737	07:25:00	7	D	2045	Africa	SW	SW1324	0	Commercial
SW1401	SW	Africa	B737	17:25:00	17	D	2050	Africa	SW	SW1402	0	Commercial
5W1001	5W	GCC	B737	07:35:00	7	D	2025	GCC	5W	5W1006	0	Commercial
5W1003	5W	Africa	B737	13:05:00	13	D	2025	Africa	5W	5W1002	0	Commercial
5W1083	5W	Africa	B737	13:20:00	13	D	2030	Africa	5W	5W1082	0	Commercial
5W1081	5W	Africa	B737	08:35:00	8	D	2030	Africa	5W	5W1084	0	Commercial
5W1165	5W	Saudi Arabia	B737	05:15:00	5	D	2035	Saudi Arabia	5W	5W1164	0	Commercial
5W1161	5W	Saudi Arabia	B737	18:00:00	18	D	2035	Saudi Arabia	5W	5W1166	0	Commercial
5W1241	5W	Saudi Arabia	B737	17:30:00	17	D	2040	Saudi Arabia	5W	5W1244	0	Commercial
5W1243	5W	Africa	B737	22:45:00	22	D	2040	Africa	5W	5W1242	0	Commercial
5W1321	5W	Saudi Arabia	B737	19:25:00	19	D	2045	Saudi Arabia	5W	5W1324	0	Commercial
5W1323	5W	GCC	B737	00:15:00	0	D	2045	GCC	5W	5W1322	0	Commercial
5W1401	5W	Africa	B737	09:05:00	9	D	2050	Africa	5W	5W1402	0	Commercial
3L1005	3L	Africa	B737	04:50:00	4	D	2025	Africa	3L	3L1004	0	Commercial
3L1007	3L	Africa	B737	10:00:00	10	D	2025	Africa	3L	3L1006	0	Commercial
3L1081	3L	Saudi Arabia	B737	09:25:00	9	D	2030	Saudi Arabia	3L	3L1086	0	Commercial
3L1083	3L	Middle East	B737	15:20:00	15	D	2030	Middle East	3L	3L1082	0	Commercial
3L1161	3L	Saudi Arabia	B737	09:20:00	9	D	2035	Saudi Arabia	3L	3L1166	0	Commercial
3L1163	3L	Middle East	B737	15:20:00	15	D	2035	Middle East	3L	3L1162	0	Commercial
3L1241	3L	Africa	B737	19:35:00	19	D	2040	Africa	3L	3L1244	0	Commercial
3L1243	3L	Africa	B737	01:05:00	1	D	2040	Africa	3L	3L1242	0	Commercial
3L1323	3L	GCC	B737	19:40:00	19	D	2045	GCC	3L	3L1322	0	Commercial
3L1321	3L	Saudi Arabia	B737	13:50:00	13	D	2045	Saudi Arabia	3L	3L1324	0	Commercial
3L1401	3L	Middle East	B737	14:35:00	14	D	2050	Middle East	3L	3L1402	0	Commercial
OTH1001	OTH	Africa	B737	07:50:00	7	D	2025	Africa	OTH	OTH1008	0	Commercial
OTH1003	OTH	Saudi Arabia	B737	13:25:00	13	D	2025	Saudi Arabia	OTH	OTH1002	0	Commercial
OTH1083	OTH	Africa	B737	11:00:00	11	D	2030	Africa	OTH	OTH1082	0	Commercial
OTH1081	OTH	Africa	B737	07:10:00	7	D	2030	Africa	OTH	OTH1084	0	Commercial
OTH1165	OTH	Africa	B737	04:05:00	4	D	2035	Africa	OTH	OTH1164	0	Commercial
OTH1161	OTH	Africa	B737	18:05:00	18	D	2035	Africa	OTH	OTH1166	0	Commercial
OTH1243	OTH	Africa	B737	15:55:00	15	D	2040	Africa	OTH	OTH1242	0	Commercial
OTH1241	OTH	Saudi Arabia	B737	19:25:00	19	D	2040	Saudi Arabia	OTH	OTH1244	0	Commercial
OTH1323	OTH	Africa	B737	14:10:00	14	D	2045	Africa	OTH	OTH1322	0	Commercial
OTH1321	OTH	Africa	B737	08:40:00	8	D	2045	Africa	OTH	OTH1324	0	Commercial
OTH1401	OTH	Africa	B737	19:25:00	19	D	2050	Africa	OTH	OTH1402	0	Commercial
